39.64450577,-82.81419311
39.6447745,-82.8145874
39.64543747,-82.81460885
39.64578651,-82.81439696
39.64604881,-82.81433527
39.64607359,-82.81399731
39.64615827,-82.8138632
39.64819256,-82.81372373
39.64834332,-82.8160948
39.64801495,-82.81612699
39.64814299,-82.81738226
39.64842593,-82.81738226
39.64847136,-82.81854097
39.6420266,-82.81918339
39.64195638,-82.81730585
39.64205139,-82.81706445
39.64203487,-82.81673722
39.64199975,-82.81615518
39.64188441,-82.81614445
39.64186968,-82.81596378
39.64248311,-82.81438664
39.6444542,-82.81418583
39.64450577,-82.81419311
